Team,GP,W,L,Win%,MIN,PTS,Assists Per Game
Cleveland Cavaliers,20,17,3,0.85,48.0,122.4,25.4
Boston Celtics,19,16,3,0.842,48.8,121.2,27.6
Oklahoma City Thunder,19,15,4,0.789,48.0,113.9,24.8
Houston Rockets,20,14,6,0.7,48.8,114.4,22.7
Orlando Magic,22,15,7,0.682,48.0,108.0,21.5
Memphis Grizzlies,21,14,7,0.667,48.0,121.7,26.1
Golden State Warriors,19,12,7,0.632,48.3,116.2,25.0
Dallas Mavericks,20,12,8,0.6,48.3,117.0,23.4
Denver Nuggets,17,10,7,0.588,48.6,117.8,24.5
Los Angeles Lakers,19,11,8,0.579,48.0,114.4,24.2
Toronto Raptors,20,5,15,0.25,48.8,112.5,22.0
