ABC,11,3,15,1,8,6,9,,,,,,
BBB,10,20,30,25,35,delete 10,,,,,,,
CCC,10,5,15,2,7,12,18,delete 10,,,,,
DDD,11,3,15,1,8,6,9,5,delete 1,,,,
DDX,11,3,15,1,8,6,9,5,,,,,
EEE,40,20,60,10,25,50,55,70,delete 55,,,,
FFF,10,20,30,40,delete 40,delete 10,,,,,,,
GGG,50,25,75,15,40,60,80,35,55,65,90,62,delete 15
KKK,20,30,40,50,delete 50,35,delete 20,,,,,,
LL1,30,20,10,,,,,,,,,,
LLL,60,20,100,80,120,delete 100,delete 60,,,,,,
LR1,60,30,80,10,50,42,,,,,,,
LR2,44,30,76,16,39,37,,,,,,,
MMM,50,30,70,10,40,55,80,5,delete 10,delete 50,,,
NNM,1,5,7,10,15,20,30,40,50,60,delete 60,delete 50,delete 40
PL1,1,2,3,4,5,6,7,8,,,,,
PL2,8,7,6,5,4,3,2,1,,,,,
PL3,8,18,5,15,17,25,40,80,,,,,
PL4,2,1,4,5,9,3,6,7,,,,,
PL5,30,20,40,10,delete 20,,,,,,,,
RL1,34,23,47,39,57,35,,,,,,,
RR1,20,15,32,45,50,,,,,,,,
